start_date,end_date,event_name
2023-03-11,2023-03-11,st_patricks_parade
2023-05-27,2023-05-28,suenos_festival
2023-06-25,2023-06-25,pride_parade
2023-07-01,2023-07-02,nascar_street_race
2023-08-03,2023-08-06,lollapalooza
2023-08-19,2023-08-20,air_and_water_show
2023-09-08,2023-09-10,taste_of_chicago
2023-10-08,2023-10-08,chicago_marathon
2024-03-16,2024-03-16,st_patricks_parade
2024-05-25,2024-05-26,suenos_festival
2024-06-30,2024-06-30,pride_parade
2024-07-06,2024-07-07,nascar_street_race
2024-08-01,2024-08-04,lollapalooza
2024-08-10,2024-08-11,air_and_water_show
2024-09-06,2024-09-08,taste_of_chicago
2024-10-13,2024-10-13,chicago_marathon
2025-03-15,2025-03-15,st_patricks_parade
2025-05-24,2025-05-25,suenos_festival
2025-06-29,2025-06-29,pride_parade
2025-07-05,2025-07-06,nascar_street_race
2025-07-31,2025-08-03,lollapalooza
2025-08-16,2025-08-17,air_and_water_show
2025-09-05,2025-09-07,taste_of_chicago
2025-10-12,2025-10-12,chicago_marathon
2026-03-14,2026-03-14,st_patricks_parade
2026-05-23,2026-05-24,suenos_festival
2026-06-28,2026-06-28,pride_parade
