raw_station_id,canonical_station_id
919,CHI01385
CHI01840,353
CHI00583,KA1504000076
CHI01162,794
CHI01210,792
CHI02028,13265
CHI00858,20232
CHI01382,916
CHI01142,777
24297,CHI01907
CHI01602,1142.0
CHI01119,516
24394,CHI01962
CHI01325,728
CHI01437,945
CHI00230,13206
24418,CHI01972
CHI00546,KA1503000030
664,CHI01281
CHI00214,15623
CHI01170,518
381,21381
CHI00643,KA1504000164
Hubbard Bike-checking (LBS-WH-TEST),CHI02046
CHI01812,24144
CHI01486,1032
388,CHI01824
CHI00456,15446
CHI02326,427
CHI00925,435
1107.0,CHI01567
CHI01428,957
CHI01071,801
CHI01755,23114
CHI01457,991
CHI02203,399
24458,CHI01983
CHI00548,KA1504000078
880,CHI01347
330.0,CHI01149
CHI01356,889
CHI00998,688
CHI00259,TA1305000039
1156.0,CHI01614
CHI00566,KA1503000046
24478,CHI02003
23165,CHI01801
CHI01469,1014
CHI00436,TA1308000036
CHI00931,443
383,CHI01918
CHI00710,569
CHI00874,324
24480,CHI01995
KA1503000049,CHI00526
CHI00408,13269
CHI02227,344
CHI00226,TA1306000014
CHI01275,823
CHI00543,16912
CHI00615,KA17018068
CHI01010,858
1523185.1,CHI02017
24257,CHI01969
24375,CHI02001
CHI00267,13089
CHI01183,637
21366,CHI01870
CHI00631,KA1504000148
CHI00372,TA1307000130
CHI00653,15668
CHI01757,23126
CHI01433,954
CHI02215,316
CHI00676,SL-013
CHI00275,TA1305000020
CHI02048,KA1503000002
24440,CHI01989
24322,CHI01922
CHI00270,13059
CHI00514,15443
406,CHI01893
CHI01690,1223.0
CHI00619,KA17018054
CHI01410,943
CHI00920,430
CHI00947,479
CHI01098,506
CHI00585,KA1503000052
CHI00621,TA1305000001
24433,CHI02018
CHI00332,TA1307000151
CHI00336,13235
CHI00833,20253.0
CHI00681,16943
CHI01798,23140
CHI00680,539
CHI02325,420
CHI01148,504
CHI00389,13139
CHI00439,13409
CHI00926,436
Corral 17,CHI01815
CHI02057,TA1305000041
933,CHI01399
CHI00584,KA1503000070
CHI00287,TA1305000014
CHI01200,814
CHI02041,E006
304,21304
CHI02007,202480.0
CHI00473,TA1309000025
CHI00330,TA1306000029
CHI01625,1168.0
CHI01036,497
CHI00432,TA1308000029
CHI01507,1055
CHI00785,674
CHI01826,23191
611,CHI00759
CHI01312,869
CHI01706,1245.0
811,CHI01204
24352,CHI01937
CHI01172,621
CHI01776,SL-009
CHI00950,486
CHI01673,1257.0
CHI01257,800
CHI00293,15599
CHI01611,1152.0
CHI01127,838
CHI01135,505
CHI00871,20239
CHI00711,570
CHI01510,1058
932,CHI01398
21379,CHI01788
CHI00929,441
CHI02195,335.0
24203,CHI01829
CHI01095,524
665,CHI01315
24409,20240
CHI00558,15545
CHI01456,990
CHI01746,13021
13324,TA1308000022
CHI01407,941
854,CHI01190
1090.0,CHI01550
CHI00288,13050
CHI00549,KA1503000045
24255,CHI01855
CHI00458,15542
CHI00387,TA1308000045
CHI02013,335.0
CHI00945,477
421,CHI01869
CHI00884,369
CHI01161,331
CHI00461,TA1309000014
21320,CHI00810
21338,CHI01875
24225,CHI01908
CHI01289,775
CHI01304,629
CHI01462,996
CHI01276,540
CHI02053,24156
21394,CHI01891
CHI00786,KA1503000015
CHI01388,922
CHI01471,1016
CHI01649,1229.0
CHI01268,736
CHI01823,21331
CHI01038,552
CHI01006,316
CHI01674,1189.0
CHI01714,1212.0
CHI01764,23171
24395,CHI01966
CHI00519,15445
390,21390
CHI00740,20103
21380,CHI01790
CHI00933,445
998,CHI01464
CHI00495,TA1309000035
CHI00793,RP-006
CHI00493,TA1309000039
CHI01439,965
21340,CHI01950
783,CHI01112
CHI01453,987
CHI00632,KA1504000117
CHI00749,634
CHI00224,13217
CHI01012,861
CHI00263,TA1306000006
CHI00586,KA1503000075
CHI00354,TA1307000150
354,CHI01846
CHI00306,TA1307000128
CHI00873,20219
24147,CHI01832
CHI00636,15651
CHI02249,439
CHI00450,SL-005
CHI00376,TA1307000111
CHI01770,23141
CHI00238,13332
CHI01492,1038
956,CHI01430
CHI00429,15470
1060,CHI01512
CHI01419,951
CHI00315,15491
CHI01319,703
24111,CHI01810
CHI00486,TA1309000055
CHI01362,897
CHI00379,13053
CHI01009,319
CHI00715,18062
CHI01196,308
23164,CHI01799
CHI00277,13164
CHI00648,RN-
24467,CHI01985
CHI01329,834
675,CHI01054
CHI01363,898
CHI00840,20225
CHI00269,TA1305000034
CHI01719,1256.0
CHI01310,813
CHI00712,571
CHI00465,TA1309000023
CHI01226,574
CHI01642,1185.0
24365,CHI01967
CHI01584,1124.0
CHI01862,21368
CHI00397,13096
CHI01675,1280.0
CHI00413,13179
CHI00612,KA1706005007
CHI01097,523
366.0,CHI01870
CHI00640,KP1705001026
CHI00693,553
24308,CHI01920
CHI01072,743
CHI01745,13017
CHI01831,24213
CHI00475,13144
1227.0,CHI01688
CHI00427,TA1308000012
CHI00616,15642
CHI01481,1027
CHI01708,1207.0
533,CHI01267
CHI00283,13080
CHI01231,820
CHI01575,1115.0
CHI00669,527
CHI01354,887
CHI01002,542
CHI01416,950
CHI00241,TA1307000062
CHI00857,20233
CHI01608,1148.0
CHI01727,1255.0
CHI01025,742
CHI00386,TA1307000139
925,CHI01391
CHI00500,TA1309000032
CHI00897,426
CHI01711,1243.0
CHI02073,CHI02088
CHI01816,23321
CHI00258,TA1305000037
1150.0,CHI01610
CHI00437,TA1309000001
CHI01536,1084.0
24376,CHI01994
CHI00977,599
CHI01444,978
CHI00639,KA1504000126
CHI01638,1181.0
CHI02082,435
24149,CHI01779
CHI01429,968
CHI01858,21361
CHI01669,1226.0
CHI01667,1195.0
CHI00545,KA1503000027
CHI00642,KA1504000162
CHI01902,22005
CHI00736,595
CHI02232,460
CHI01003,513
CHI00303,TA1307000143
24423,CHI01959
677,CHI01052
CHI00605,TA1305000003
21401,401
CHI01520,1068
CHI01793,23142
CHI01212,517
CHI01590,1130.0
24417,CHI01941
CHI00262,TA1306000007
1170.0,CHI01627
CHI01293,749
CHI00304,13063
CHI00492,TA1309000041
CHI01551,1091.0
24411,CHI01940
CHI01585,1125.0
CHI00581,KA1504000093
CHI01857,21360
CHI00855,20246.0
CHI01923,21345
CHI00848,20209
325,21325
CHI00460,TA1309000011
CHI00729,587
CHI00282,13068
CHI01519,1067
CHI01595,1135.0
526,CHI01265
CHI01150,768
CHI00531,KA1503000064
CHI01729,1242.0
CHI01335,641
CHI00575,KA1504000079
CHI00606,SL-011
CHI00221,KA1503000020
CHI00649,PI00003
953,CHI01435
CHI01499,1045
CHI00296,TA1307000070
911,CHI01377
CHI01078,646
CHI00718,18069
CHI00943,475
CHI00284,13331
CHI00505,TA1309000036
CHI00864,20211
CHI00470,13338
CHI01039,789
CHI01879,23002
371,CHI01887
CHI00633,KA1504000127
CHI00809,20245
CHI00821,20119
CHI00281,TA1307000039
CHI00880,20228
CHI02202,402
CHI00883,20130
CHI01458,992
CHI00861,20124
CHI01785,23143
21336,CHI01794
CHI01241,586
CHI00314,13124
24431,CHI01956
21337,CHI01898
CHI00896,425
CHI01100,782
CHI01580,1120.0
CHI01375,909
CHI00555,KA1503000044
CHI01090,723
CHI00229,13194
CHI00596,16918
CHI00459,TA1309000012
CHI00588,PI00002
CHI01715,1201.0
CHI00892,358
345,21345
CHI00423,TA1307000164
CHI01996,22002
CHI02052,TA1306000014
CHI00802,20203
24335,CHI01974
CHI00909,389
16932,CHI00601
CHI01434,960
CHI00760,KA1503000011
CHI00353,TA1307000134
CHI01578,1118.0
CHI00377,TA1307000136
CHI00765,KA1503000014
Corral 19,CHI01541
21406,CHI01893
CHI01553,1093.0
CHI00635,15650
CHI00469,TA1309000019
CHI00766,640
24150,CHI01820
24477,CHI02000
CHI00912,21339
CHI00491,15449
CHI01871,21352
380,CHI01790
CHI01465,999
CHI00982,772
400,21400
